ID,Name,Year,Sexo,Disciplina,IMC,Medallista
18,Timo Antero Aaltonen,2000,Hombres,Atletismo - Lanzamientos,36.39,False
22,Andreea Aanei,2016,Mujeres,Halterofilia,43.25,False
34,Jamale (Djamel-) Aarrass (Ahrass-),2012,Hombres,Atletismo - Resistencia,21.73,False
36,Stefan Remco Aartsen,1996,Hombres,Natacion,20.72,False
36,Stefan Remco Aartsen,1996,Hombres,Natacion,20.72,False
36,Stefan Remco Aartsen,1996,Hombres,Natacion,20.72,False
36,Stefan Remco Aartsen,2000,Hombres,Natacion,20.72,False
36,Stefan Remco Aartsen,2000,Hombres,Natacion,20.72,False
49,Moonika Aava,2004,Mujeres,Atletismo - Lanzamientos,23.03,False
49,Moonika Aava,2008,Mujeres,Atletismo - Lanzamientos,23.03,False
51,Nstor Abad Sanjun,2016,Hombres,Gimnasia,22.95,False
51,Nstor Abad Sanjun,2016,Hombres,Gimnasia,22.95,False
51,Nstor Abad Sanjun,2016,Hombres,Gimnasia,22.95,False
51,Nstor Abad Sanjun,2016,Hombres,Gimnasia,22.95,False
51,Nstor Abad Sanjun,2016,Hombres,Gimnasia,22.95,False
51,Nstor Abad Sanjun,2016,Hombres,Gimnasia,22.95,False
55,Antonio Abadia Beci,2016,Hombres,Atletismo - Resistencia,22.49,False
59,Ivan Nikolov Abadzhiev,1960,Hombres,Halterofilia,26.4,False
60,Mikhail Abadzhiev,1960,Hombres,Halterofilia,25.35,False
67,Mariya Vasilyevna Abakumova (-Tarabina),2008,Mujeres,Atletismo - Lanzamientos,24.97,True
67,Mariya Vasilyevna Abakumova (-Tarabina),2012,Mujeres,Atletismo - Lanzamientos,24.97,False
68,Pablo Martn Abal,2000,Hombres,Natacion,23.99,False
68,Pablo Martn Abal,2000,Hombres,Natacion,23.99,False
86,Jos Manuel Abascal Gmez,1980,Hombres,Atletismo - Resistencia,20.23,False
86,Jos Manuel Abascal Gmez,1984,Hombres,Atletismo - Resistencia,20.23,True
88,Nunu Dzhansuhivna Abashydze (-Myslaieva),1980,Mujeres,Atletismo - Lanzamientos,37.2,False
91,Emanuele Abate,2012,Hombres,Atletismo - Velocidad,22.16,False
95,Georgia Abatzidou,2004,Mujeres,Atletismo - Resistencia,17.9,False
96,Carlos Rodolfo Abaunza Balladares,2004,Hombres,Atletismo - Velocidad,21.26,False
109,Abdul Latif Al-Sayed Abbas Youssef Hashem,1976,Hombres,Atletismo - Velocidad,20.66,False
109,Abdul Latif Al-Sayed Abbas Youssef Hashem,1976,Hombres,Atletismo - Velocidad,20.66,False
109,Abdul Latif Al-Sayed Abbas Youssef Hashem,1980,Hombres,Atletismo - Velocidad,20.66,False
110,Abubakar Abbas Abbas,2016,Hombres,Atletismo - Velocidad,21.55,False
111,Aqarab Abbas,1996,Hombres,Atletismo - Lanzamientos,24.38,False
112,Aziz Abbas,1964,Hombres,Halterofilia,23.46,False
115,Ghulam Abbas,1992,Hombres,Atletismo - Velocidad,22.59,False
117,Maher Abbas,1988,Hombres,Atletismo - Velocidad,24.62,False
117,Maher Abbas,1988,Hombres,Atletismo - Resistencia,24.62,False
120,Mohammed Abbas Sabih,2004,Hombres,Natacion,24.22,False
122,Nader Sufyan Abbas,2004,Hombres,Halterofilia,25.73,False
129,Ruslan Abbasov,2008,Hombres,Atletismo - Velocidad,22.59,False
130,Tural Abbasov,2008,Hombres,Natacion,22.94,False
131,Tran Abbasova,2000,Mujeres,Halterofilia,20.96,False
138,Salwan Jasim Abbood Abbood,2016,Hombres,Halterofilia,32.1,False
160,Ali Abdalla Afringi,2008,Hombres,Atletismo - Resistencia,21.45,False
