Disciplina,Sexo,n,imc_mediano,imc_q1,imc_q3
Atletismo - Lanzamientos,Hombres,1810,30.56,27.76,32.72
Atletismo - Lanzamientos,Mujeres,1346,26.12,24.21,28.71
Atletismo - Resistencia,Hombres,4623,20.3,19.38,21.26
Atletismo - Resistencia,Mujeres,2305,18.75,17.9,19.72
Atletismo - Velocidad,Hombres,6677,22.53,21.47,23.66
Atletismo - Velocidad,Mujeres,4417,20.44,19.59,21.45
Gimnasia,Hombres,10039,22.41,21.55,23.31
Gimnasia,Mujeres,7157,19.33,18.05,20.78
Halterofilia,Hombres,2392,27.13,24.16,30.69
Halterofilia,Mujeres,460,24.57,22.4,26.97
Natacion,Hombres,10112,22.86,21.88,23.91
Natacion,Mujeres,8382,20.76,19.88,21.77
