Year,atletas,porcentaje_mujeres
1896,176,0.0
1900,1224,1.88
1904,650,0.92
1906,841,0.71
1908,2024,2.17
1912,2409,2.2
1920,2676,2.91
1924,3256,4.79
1928,3247,9.61
1932,1922,10.46
1936,4484,8.05
1948,4402,10.13
1952,4932,10.56
1956,3347,11.47
1960,5352,11.45
1964,5137,13.24
1968,5558,14.09
1972,7114,14.9
1976,6073,20.75
1980,5259,21.35
1984,6798,23.08
1988,8454,26.06
1992,9386,29.01
1996,10339,34.02
2000,10647,38.21
2004,10557,40.73
2008,10899,42.29
2012,10517,44.25
2016,11179,45.03
