Disciplina,Sexo,imc_no_medallistas,imc_medallistas,delta_imc
Atletismo - Lanzamientos,Hombres,30.51,31.24,0.73
Atletismo - Lanzamientos,Mujeres,26.04,26.53,0.49
Atletismo - Resistencia,Hombres,20.31,20.28,-0.02
Atletismo - Resistencia,Mujeres,18.78,18.56,-0.22
Atletismo - Velocidad,Hombres,22.49,23.01,0.52
Atletismo - Velocidad,Mujeres,20.44,20.55,0.11
Gimnasia,Hombres,22.41,22.21,-0.2
Gimnasia,Mujeres,19.37,18.76,-0.61
Halterofilia,Hombres,27.01,27.55,0.55
Halterofilia,Mujeres,24.46,24.78,0.31
Natacion,Hombres,22.84,23.12,0.28
Natacion,Mujeres,20.75,21.05,0.3
